field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,2339579.3587441854,-96.89768838126156,-192.75663465086495,246031863.70513034,950.0805500580798,1060.868377138927
shear_xy_xz_q0_1,Pa,2360263.920548442,155.60540143965272,1996.5460642189955,177463888.110746,177546003.10635802,-82.91899843567333
shear_xy_xz_q1_0,Pa,2793874.881052265,2638.8414316400285,-1384.7816299989934,42504.44946984884,290269320.17043763,-2663.345042430591
shear_xy_xz_q1_1,Pa,2826095.163624174,-506.8516319633858,520.6390095264278,-203637594.88595405,203718219.5379251,-211.41082049484805
shear_xy_yz_q0_0,Pa,-1089.8956968437603,2967286.9803125802,2842.8838596678006,27.70342304454215,1906.8951278665136,304757193.8158255
shear_xy_yz_q0_1,Pa,1519995.6120086117,1241944.5109774503,381.9862256846451,202501669.1695844,1129.6905827515563,202579373.40521818
shear_xy_yz_q1_1,Pa,1441441.2677994794,1174170.9360553036,-251.05850998150754,193342175.70695227,-395.69690563660504,-193352042.54436168
shear_xz_yz_q0_1,Pa,1496453.8303273474,1381315.1545277322,-895.3274309658434,1380385.1254700902,209838383.89219064,209838229.974052
shear_xz_yz_q1_1,Pa,1419186.5516169767,1410302.745661701,-1046.412003146399,-1406690.2561818226,-208783558.893889,208781149.5401024
tensile_x_y_q0_0,Pa,447941263.0538477,113.0437945704698,-1208.52822427891,-2988.614999895719,-153.72911462001554,-314.4212675948471
tensile_x_y_q0_1,Pa,524600956.9597263,524538537.0987959,6645.255943760933,4913.814649725742,-558.3427920713259,195.115353255508
tensile_x_y_q1_0,Pa,-3314.0962941343896,476081713.9978859,3943.5554524813974,542.9818777041228,-146.75525203055895,3421.2123431528335
tensile_x_y_q1_1,Pa,-255459100.73194233,257958714.12410426,682.0599451622492,-3131.2780823924827,-1605.662573989685,4188.6441622771345
tensile_x_z_q0_0,Pa,7457.175664895446,-5542.623517507093,527500893.27751696,-3000.0960099881604,1931.4047682248422,-1838.0217412499849
tensile_x_z_q0_1,Pa,471939370.3830173,-1618.8195024376384,471493609.20032114,3945.2904709089753,-550.1733647268359,-2235.1421468104522
tensile_x_z_q1_1,Pa,293909767.9376489,-645.9119326611763,-291064460.09002197,80.95128795587647,2163.977285955678,223.7627274306393
tensile_y_z_q0_1,Pa,-137.18489199851555,445410915.2813732,445077457.7600578,2438.1706831357883,1658.9595275449324,651.7286937891174
tensile_y_z_q1_1,Pa,-4289.959576994863,-298836588.51224536,301733822.5432675,-1393.0691519009526,164.5621847623903,-3.246964091142445
