field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,3018352.550937385,-66.70976224017727,574.0743983605395,263227743.5761293,601.447949738073,1387.1439838435945
shear_xy_xz_q0_1,Pa,3003162.3100181846,584.563819399602,218.64670635022003,188268473.69081262,188388134.48668408,0.6219702117673478
shear_xy_xz_q1_0,Pa,3455676.353487921,3316.6620178792787,-940.6784513655203,54397.61449909089,307067377.22160333,-1533.6452797439692
shear_xy_xz_q1_1,Pa,3480994.9493261026,-194.89209333498522,429.6827002060926,-215324852.3326037,215431575.44526693,-301.5221531503929
shear_xy_yz_q0_0,Pa,-2248.8150154295104,3658020.8364404785,-1647.7748028404553,248.17294010525947,1.139307730339624,321931179.06814545
shear_xy_yz_q0_1,Pa,1911492.198684543,1521574.5017066959,2754.3309253253997,214842546.001997,1320.863767814336,214948109.89167148
shear_xy_yz_q1_1,Pa,1839385.7061312206,1454356.9988227417,-108.27980038057626,205427652.56531715,-1229.7383467383243,-205436544.8353447
shear_xz_yz_q0_1,Pa,1876074.1003415112,1701764.9617924585,1178.0254716851177,1701506.592591317,222596029.17195365,222594721.23883682
shear_xz_yz_q1_1,Pa,1731432.0887463551,1723879.992717019,-690.3792341820247,-1720150.9446024774,-219334759.47981772,219332196.9897972
tensile_x_y_q0_0,Pa,483673043.2025418,5458.585861923022,-5921.100528007236,-5292.234985493515,1111.5103651627203,1133.1159110228703
tensile_x_y_q1_0,Pa,-4614.446243950676,500892476.53912103,5991.498014131449,1766.2313926925092,111.45313052973029,3068.7753063652785
tensile_x_y_q1_1,Pa,-271166424.0683863,274338214.0628025,860.4911692911688,-3724.6442941279233,-1412.6383271465852,3791.147499748345
tensile_x_z_q0_0,Pa,4489.747851452852,-216.9909205970789,557544191.1827518,-3612.1693789384235,3664.7226090610848,2213.5429242108444
tensile_x_z_q0_1,Pa,500079541.49528366,-473.4745476884407,499484651.62103736,244.2970297704648,2012.429294576485,-1897.5300249323918
tensile_x_z_q1_1,Pa,314334032.89714295,-2583.7248445970126,-310757085.4925921,-584.3881485057213,1056.317396354582,1601.117355229609
tensile_y_z_q0_1,Pa,75.56983311836235,479743353.2974768,479274497.5777034,3568.205076478808,-1611.5484408401708,-2238.305347951273
tensile_y_z_q1_1,Pa,-3872.2522900623803,-313692540.295402,317215846.05747473,-1504.5560645431224,-539.9516625090089,-439.4037424144229
