field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,2069457.0865473773,-11.299704649381738,293.2242334826531,241205184.4069825,554.8408600571227,673.0300537673536
shear_xy_xz_q0_1,Pa,2038479.6888543929,-1744.5521424333458,-462.28116207741346,177454455.92827138,177851902.76328728,-655.0502727690229
shear_xy_xz_q1_0,Pa,2402479.858546915,-208.9664309659077,350.085476861729,-549624.9446796647,285357545.1817978,-342.674140348077
shear_xy_xz_q1_1,Pa,2643029.645464932,49.40824163156256,-676.5707887816625,-199582875.9583028,199183779.95457837,-369.0629016924333
shear_xy_xz_q2_0,Pa,2347789.8074978464,91.97046155803699,981.7265330615411,-238500529.50203606,-659.2377443271803,-1073.1210934568594
shear_xy_xz_q2_1,Pa,2506576.5131563693,75.68400388504352,-3130.946535305898,-171442834.93418872,-171696545.00049254,-439.59991908966356
shear_xy_xz_q3_0,Pa,2825609.4910276555,-2351.859231100144,2467.5445064238647,591833.5019393036,-276528000.1997036,2040.8746890955786
shear_xy_xz_q3_1,Pa,2591340.891950581,1163.5514684080913,-544.7190416202509,193224218.38736805,-192716122.64852685,2462.211134241314
shear_xy_yz_q0_0,Pa,-3656.7693863391028,2163819.0131630576,2918.488972551647,2337.000736661093,842.8160271874997,294112212.96740806
shear_xy_yz_q0_1,Pa,1250592.20211817,764287.637817444,3183.39988482261,194849307.4493944,-754.464280806679,194859378.83922693
shear_xy_yz_q1_1,Pa,1254347.0317705013,1563504.9115386666,621.5582000807708,191613641.9394296,-627.5056143501317,-191574249.77204683
shear_xy_yz_q2_0,Pa,1504.6704650179363,3309128.922590075,1330.9301631462506,-1113.6980190946736,196.67702913847916,-290291151.3888496
shear_xy_yz_q2_1,Pa,1557409.3699479564,1555166.3928753592,-1474.621127906086,-195955597.2370176,-1443.122408746624,-195873032.21602976
shear_xy_yz_q3_1,Pa,1468244.9353157093,706547.7263693204,-1389.5701854480535,-186919466.45247933,-1796.0424409725165,186888632.2685716
shear_xz_yz_q0_1,Pa,1190733.7507695088,877319.4498033215,2769.46834127806,879879.9455516106,204108054.07607952,204109399.38766932
shear_xz_yz_q1_1,Pa,1489353.71391103,860022.5195904203,-709.7159446287551,-853794.3059294164,-198410882.21989107,198412516.23113248
shear_xz_yz_q2_1,Pa,1591112.6274981883,1725805.2532673632,310.00228605091024,1725802.4018624318,-202390879.4603464,-202391061.6807115
shear_xz_yz_q3_1,Pa,1164060.9055365461,1782930.2024276003,41.156359098742904,-1781931.014339372,205545104.99264377,-205544634.83733454
tensile_x_y_q0_0,Pa,508946248.2548193,1163.182357425659,-2789.163169732704,65.14832131325306,3347.751704837037,-144.43157593225715
tensile_x_y_q0_1,Pa,553257288.5613387,546456240.2985377,322.3290500072078,684.4922235096076,430.3796269542103,1897.466216574584
tensile_x_y_q1_0,Pa,1515.390798177601,467701726.0238225,-913.5672769216726,-1430.7712479992233,490.9986759057074,3537.708623832127
tensile_x_y_q1_1,Pa,-233368168.58667886,232508979.33895648,-516.0187112733937,-1586.002476436933,-190.15499477552513,2762.1644865944345
tensile_x_y_q2_0,Pa,-381896558.7724959,-470.0817955291127,691.7264314459067,1643.9724558722187,-1066.2156563840686,-494.16456946848456
tensile_x_y_q2_1,Pa,-458342218.2711833,-452894653.4988571,-2379.522190503724,-1330.643105370461,770.3494982432289,2031.7755119593521
tensile_x_y_q3_0,Pa,-6667.704535120655,-448480636.66067415,3844.3289479999985,2630.79273693325,-1751.9734162512668,-2319.6075703664446
tensile_x_y_q3_1,Pa,266051941.87605304,-260118190.56321254,-2884.8581331769055,-918.8393743494678,371.5208079905276,-1967.7007646014902
tensile_x_z_q0_0,Pa,2725.383918767997,-3488.8567418544985,461339381.8175765,-2013.8368899732927,174.3244257389606,2223.3251717298563
tensile_x_z_q0_1,Pa,454702120.480996,71.9570350423055,448450052.4640699,329.59283542555204,-3401.454760425559,-1329.9429783680744
tensile_x_z_q1_1,Pa,326832191.6470794,227.64013836875387,-319357276.0051435,-1239.927661920327,102.57386359883367,998.3488435357228
tensile_x_z_q2_0,Pa,-7484.217014320578,6984.383985513094,-542867311.8577167,2901.520616230285,-840.73504954067,579.3730003796716
tensile_x_z_q2_1,Pa,-464510505.9659376,1604.6992847526851,-459033853.4619347,-2016.905271793756,-913.6221191866133,2092.3902146258133
tensile_x_z_q3_1,Pa,-249901294.54585528,223.37590615490512,248866872.53810352,-1283.8175066064498,153.1828180469738,450.11303730630107
tensile_y_z_q0_1,Pa,3648.806971209632,384485914.4187,384251376.6262833,1963.0400638091191,-1032.2517802994482,4699.809116561876
tensile_y_z_q1_1,Pa,-5548.566136006275,-274074878.44878083,276439312.07947344,2246.511240204363,-110.51876762285156,49.60302838452776
tensile_y_z_q2_1,Pa,145.32429230041197,-501808686.9018838,-502242521.62721527,1139.70252639384,3168.486053061855,-14.94561020833963
tensile_y_z_q3_1,Pa,-2293.6332597532464,306660123.97271293,-303580986.513072,1521.2788180773132,-956.9942042742118,272.0416519771504
