field_name,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz,strain_xx,strain_yy,strain_zz,strain_xy,strain_xz,strain_yz
strain_xx,16250.002446338549,9179.999545993098,6889.999659247517,0.0,0.0,0.0,9.999999505439053e-08,0.0,0.0,0.0,0.0,0.0
strain_xy,0.002684483718229847,0.002684483718229847,0.0006884492975700667,7070.000000000414,0.0,0.0,-5.003996372522174e-15,-5.003996372522174e-15,0.0,1.9999999989472907e-07,0.0,0.0
strain_xz,0.0030280752355422097,0.0008028577802576903,0.0031185029008979287,0.0,9360.00000000043,0.0,-4.999064490099561e-15,-1.1102230246251568e-16,-5.119950550789857e-15,2.662166329353621e-23,1.999999997837068e-07,-2.2204459489174614e-16
strain_yy,9179.999545993098,16250.002446338549,6889.999659247517,0.0,0.0,0.0,0.0,9.999999505439053e-08,0.0,0.0,0.0,0.0
strain_yz,0.0008028577802576903,0.0030280752355422097,0.0031185029008979287,0.0,0.0,9360.00000000043,0.0,-5.003996372522174e-15,-5.003996372522174e-15,0.0,0.0,1.9999999989472907e-07
strain_zz,6889.999659247517,6889.999659247517,18060.002718823012,0.0,0.0,0.0,0.0,0.0,9.999999505439053e-08,0.0,0.0,0.0
