      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
             46,          47.08,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.008939,      -0.004136,      -0.004668,      -0.002144,      -0.000921,      -0.000677,   7732727.4363
             47,          94.18,          -0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.009357,      -0.004281,      -0.004795,      -0.002151,      -0.000922,      -0.000679,   7732748.1996
             48,         141.32,           0.01,           0.01,           0.00,           0.00,           0.00,       0.009773,      -0.004427,      -0.004922,      -0.002157,      -0.000922,      -0.000681,   7732923.9447
             49,         188.48,           0.00,           0.00,          -0.00,           0.00,           0.00,       0.010198,      -0.004580,      -0.005049,      -0.002164,      -0.000921,      -0.000684,   7736267.3742
             50,         235.67,          -0.00,          -0.00,           0.00,          -0.00,           0.00,       0.010663,      -0.004772,      -0.005178,      -0.002173,      -0.000915,      -0.000686,   7754555.4372
             51,         282.91,          -0.00,          -0.00,          -0.00,          -0.00,           0.00,       0.011185,      -0.005021,      -0.005308,      -0.002180,      -0.000908,      -0.000698,   7794829.8858
             52,         330.20,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.011754,      -0.005315,      -0.005441,      -0.002194,      -0.000911,      -0.000717,   7854296.1229
             53,         377.56,           0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.012398,      -0.005668,      -0.005589,      -0.002238,      -0.000928,      -0.000748,   7944993.8945
             54,         425.02,           0.00,           0.00,          -0.00,           0.00,          -0.00,       0.013157,      -0.006103,      -0.005772,      -0.002317,      -0.000965,      -0.000792,   8085260.6055
             55,         472.61,          -0.00,           0.00,          -0.00,           0.00,           0.00,       0.014072,      -0.006632,      -0.006017,      -0.002424,      -0.001019,      -0.000838,   8298322.1092
             56,         520.42,           0.00,          -0.01,           0.00,           0.00,          -0.00,       0.015266,      -0.007322,      -0.006383,      -0.002579,      -0.001097,      -0.000872,   8658912.2047
             57,         568.72,           0.00,          -0.00,           0.00,           0.01,          -0.00,       0.017139,      -0.008426,      -0.007012,      -0.002826,      -0.001240,      -0.000949,   9431226.1424
             58,         618.27,           0.00,          -0.00,          -0.00,           0.00,           0.00,       0.020781,      -0.010665,      -0.008274,      -0.003341,      -0.001509,      -0.001215,  11363919.5395
             59,         670.44,          -0.02,           0.00,           0.01,           0.01,           0.00,       0.027856,      -0.015171,      -0.010685,      -0.004549,      -0.001812,      -0.001862,  15686345.7518
     yieldpoint,         512.02,           0.00,          -0.01,           0.00,           0.00,          -0.00,       0.015057,      -0.007201,      -0.006319,      -0.002551,      -0.001083,      -0.000866,   8595600.4764
